query_id,query_text,query_emotion,query_cause,verse_id,surah,ayah,verse_emotion,verse_cause,relevance
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,98,2,83,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,80,7,150,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,81,20,86,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,82,3,153,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,83,2,72,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,84,2,49,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,85,33,10,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,86,4,155,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,87,9,30,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,88,49,6,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,89,42,37,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,90,3,186,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,91,33,57,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,92,60,1,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,93,2,85,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,97,5,64,Anger,Relationships / People,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,99,2,87,Anger,Life Trials / Hardship,1
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,33,39,17,Joy,Faith / Spiritual State,0
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,37,98,8,Joy,Faith / Spiritual State,0
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,2,2,190,Fear,Faith / Spiritual State,0
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,19,55,46,Fear,Faith / Spiritual State,0
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,80,7,150,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,81,20,86,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,82,3,153,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,83,2,72,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,84,2,49,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,85,33,10,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,99,2,87,Anger,Life Trials / Hardship,2
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,75,2,90,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,76,9,67,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,77,2,15,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,78,58,14,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,79,5,58,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,86,4,155,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,87,9,30,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,88,49,6,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,89,42,37,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,90,3,186,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,91,33,57,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,92,60,1,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,93,2,85,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,94,2,34,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,95,2,51,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,96,2,61,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,97,5,64,Anger,Relationships / People,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,98,2,83,Anger,Faith / Spiritual State,1
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,9,3,137,Fear,Life Trials / Hardship,0
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,17,23,57,Fear,Faith / Spiritual State,0
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,26,3,171,Joy,Faith / Spiritual State,0
Q3,I feel so angry going through these hardships and trials in life,Anger,Life Trials / Hardship,69,2,216,Sadness,Life Trials / Hardship,0
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,80,7,150,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,81,20,86,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,82,3,153,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,83,2,72,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,84,2,49,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,85,33,10,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,99,2,87,Anger,Life Trials / Hardship,2
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,75,2,90,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,76,9,67,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,77,2,15,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,78,58,14,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,79,5,58,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,86,4,155,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,87,9,30,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,88,49,6,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,89,42,37,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,90,3,186,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,91,33,57,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,92,60,1,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,93,2,85,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,94,2,34,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,95,2,51,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,96,2,61,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,97,5,64,Anger,Relationships / People,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,98,2,83,Anger,Faith / Spiritual State,1
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,30,18,107,Joy,Faith / Spiritual State,0
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,54,52,21,Joy,Relationships / People,0
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,38,3,139,Joy,Life Trials / Hardship,0
Q4,"This situation is so unfair, I am angry about everything falling apart",Anger,Life Trials / Hardship,49,15,47,Joy,Relationships / People,0
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,86,4,155,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,87,9,30,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,88,49,6,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,89,42,37,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,90,3,186,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,91,33,57,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,92,60,1,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,93,2,85,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,97,5,64,Anger,Relationships / People,2
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,75,2,90,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,76,9,67,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,77,2,15,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,78,58,14,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,79,5,58,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,80,7,150,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,81,20,86,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,82,3,153,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,83,2,72,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,84,2,49,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,85,33,10,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,94,2,34,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,95,2,51,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,96,2,61,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,98,2,83,Anger,Faith / Spiritual State,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,99,2,87,Anger,Life Trials / Hardship,1
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,26,3,171,Joy,Faith / Spiritual State,0
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,27,9,21,Joy,Faith / Spiritual State,0
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,11,5,52,Fear,Relationships / People,0
Q5,I feel angry and hurt because of how people treated me,Anger,Relationships / People,35,52,17,Joy,Faith / Spiritual State,0
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,86,4,155,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,87,9,30,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,88,49,6,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,89,42,37,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,90,3,186,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,91,33,57,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,92,60,1,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,93,2,85,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,97,5,64,Anger,Relationships / People,2
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,75,2,90,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,76,9,67,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,77,2,15,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,78,58,14,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,79,5,58,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,80,7,150,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,81,20,86,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,82,3,153,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,83,2,72,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,84,2,49,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,85,33,10,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,94,2,34,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,95,2,51,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,96,2,61,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,98,2,83,Anger,Faith / Spiritual State,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,99,2,87,Anger,Life Trials / Hardship,1
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,33,39,17,Joy,Faith / Spiritual State,0
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,73,6,33,Sadness,Relationships / People,0
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,62,10,65,Sadness,Faith / Spiritual State,0
Q6,Someone betrayed my trust and I feel so angry,Anger,Relationships / People,39,9,111,Joy,Life Trials / Hardship,0
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,1,2,40,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,2,2,190,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,3,3,102,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,4,5,44,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,5,16,50,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,6,67,12,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,15,2,2,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,16,8,2,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,17,23,57,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,18,39,9,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,19,55,46,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,20,79,40,Fear,Faith / Spiritual State,2
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,7,2,155,Fear,Life Trials / Hardship,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,8,2,214,Fear,Life Trials / Hardship,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,9,3,137,Fear,Life Trials / Hardship,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,10,4,9,Fear,Life Trials / Hardship,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,11,5,52,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,12,33,39,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,13,114,4,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,14,113,5,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,21,3,173,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,22,8,26,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,23,9,13,Fear,Relationships / People,1
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,77,2,15,Anger,Faith / Spiritual State,0
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,60,12,86,Sadness,Faith / Spiritual State,0
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,94,2,34,Anger,Faith / Spiritual State,0
Q7,I am scared that my iman is getting weaker and I might stray,Fear,Faith / Spiritual State,41,21,90,Joy,Life Trials / Hardship,0
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,1,2,40,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,2,2,190,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,3,3,102,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,4,5,44,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,5,16,50,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,6,67,12,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,15,2,2,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,16,8,2,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,17,23,57,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,18,39,9,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,19,55,46,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,20,79,40,Fear,Faith / Spiritual State,2
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,7,2,155,Fear,Life Trials / Hardship,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,8,2,214,Fear,Life Trials / Hardship,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,9,3,137,Fear,Life Trials / Hardship,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,10,4,9,Fear,Life Trials / Hardship,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,11,5,52,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,12,33,39,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,13,114,4,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,14,113,5,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,21,3,173,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,22,8,26,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,23,9,13,Fear,Relationships / People,1
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,60,12,86,Sadness,Faith / Spiritual State,0
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,59,6,33,Sadness,Faith / Spiritual State,0
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,43,39,10,Joy,Life Trials / Hardship,0
Q8,I fear that Allah is not pleased with me because of my sins,Fear,Faith / Spiritual State,27,9,21,Joy,Faith / Spiritual State,0
Q9,I am so afraid of failing these trials and hardships in my life,Fear,Life Trials / Hardship,7,2,155,Fear,Life Trials / Hardship,2
Q9,I am so afraid of failing these trials and hardships in my life,Fear,Life Trials / Hardship,8,2,214,Fear,Life Trials / Hardship,2
Q9,I am so afraid of failing these trials and hardships in my life,Fear,Life Trials / Hardship,9,3,137,Fear,Life Trials / Hardship,2
Q9,I am so afraid of failing these trials and hardships in my life,Fear,Life Trials / Hardship,10,4,9,Fear,Life Trials / Hardship,2
Q9,I am so afraid of failing these trials and hardships in my life,Fear,Life Trials / Hardship,1,2,40,Fear,Faith / Spiritual State,1
